tk,pt
1800,1.00E-01
1800,3.00E-01
1800,1.00E+00
1800,3.00E+00
1800,1.00E+01
1800,3.00E+01
1800,1.00E+02
1800,3.00E+02
1800,1.00E+03
1800,3.00E+03
1900,1.00E-06
1900,3.00E-06
1900,1.00E-05
1900,3.00E-05
1900,1.00E-04
1900,3.00E-04
1900,1.00E-03
1900,3.00E-03
1900,1.00E-02
1900,3.00E-02
1900,1.00E-01
1900,3.00E-01
1900,1.00E+00
1900,3.00E+00
1900,1.00E+01
1900,3.00E+01
1900,1.00E+02
1900,3.00E+02
1900,1.00E+03
1900,3.00E+03
2000,1.00E-06
2000,3.00E-06
2000,1.00E-05
2000,3.00E-05
2000,1.00E-04
2000,3.00E-04
2000,1.00E-03
2000,3.00E-03
2000,1.00E-02
2000,3.00E-02
2000,1.00E-01
2000,3.00E-01
2000,1.00E+00
2000,3.00E+00
2000,1.00E+01
2000,3.00E+01
2000,1.00E+02
2000,3.00E+02
2000,1.00E+03
2000,3.00E+03
2100,1.00E-06
2100,3.00E-06
2100,1.00E-05
2100,3.00E-05
2100,1.00E-04
2100,3.00E-04
2100,1.00E-03
2100,3.00E-03
2100,1.00E-02
2100,3.00E-02
2100,1.00E-01
2100,3.00E-01
2100,1.00E+00
2100,3.00E+00
2100,1.00E+01
2100,3.00E+01
2100,1.00E+02
2100,3.00E+02
2100,1.00E+03
2100,3.00E+03
2150,1.00E-06
2150,3.00E-06
2150,1.00E-05
2150,3.00E-05
2150,1.00E-04
2150,3.00E-04
2150,1.00E-03
2150,3.00E-03
2150,1.00E-02
2150,3.00E-02
2150,1.00E-01
2150,3.00E-01
2150,1.00E+00
2150,3.00E+00
2150,1.00E+01
2150,3.00E+01
2150,1.00E+02
2150,3.00E+02
2150,1.00E+03
2150,3.00E+03
2200,1.00E-06
2200,3.00E-06
2200,1.00E-05
2200,3.00E-05
2200,1.00E-04
2200,3.00E-04
2200,1.00E-03
2200,3.00E-03
2200,1.00E-02
2200,3.00E-02
2200,1.00E-01
2200,3.00E-01
2200,1.00E+00
2200,3.00E+00
2200,1.00E+01
2200,3.00E+01
2200,1.00E+02
2200,3.00E+02
2200,1.00E+03
2200,3.00E+03
2300,1.00E-06
2300,3.00E-06
2300,1.00E-05
2300,3.00E-05
2300,1.00E-04
2300,3.00E-04
2300,1.00E-03
2300,3.00E-03
2300,1.00E-02
2300,3.00E-02
2300,1.00E-01
2300,3.00E-01
2300,1.00E+00
2300,3.00E+00
2300,1.00E+01
2300,3.00E+01
2300,1.00E+02
2300,3.00E+02
2300,1.00E+03
2300,3.00E+03
2400,1.00E-06
2400,3.00E-06
2400,1.00E-05
2400,3.00E-05
2400,1.00E-04
2400,3.00E-04
2400,1.00E-03
2400,3.00E-03
2400,1.00E-02
2400,3.00E-02
2400,1.00E-01
2400,3.00E-01
2400,1.00E+00
2400,3.00E+00
2400,1.00E+01
2400,3.00E+01
2400,1.00E+02
2400,3.00E+02
